table,row,word_y,oxi_cy,word_rh,oxi_rh,delta_rh
1,0,39.75,36.0,18.0,21.0,3.0
1,1,57.75,57.0,326.25,319.25,-7.0
1,2,384.0,376.25,89.25,82.30000000000001,-6.95
1,3,473.25,458.55,42.75,37.30000000000001,-5.45
1,4,516.0,495.85,23.25,23.649999999999977,0.4
1,5,539.25,519.5,22.5,21.950000000000045,-0.55
1,6,561.75,541.45,41.25,21.949999999999932,-19.3
1,7,603.0,563.4,40.5,162.5,122.0
1,10,124.5,234.295,180.75,181.09,0.34
1,11,305.25,415.385,62.25,52.69999999999999,-9.55
1,12,367.5,468.085,69.0,52.69999999999999,-16.3
