table,row,word_y,oxi_cy,word_rh,oxi_rh,delta_rh
1,0,120.75,116.45,24.75,12.499999999999986,-12.25
1,1,145.5,128.95,30.0,37.58000000000001,7.58
1,2,175.5,166.53,21.75,16.849999999999994,-4.9
1,3,197.25,183.38,21.75,21.849999999999994,0.1
1,4,219.0,205.23,24.0,16.850000000000023,-7.15
1,5,243.0,222.08,24.75,27.44999999999999,2.7
2,0,312.0,288.88,16.5,12.5,-4.0
2,1,328.5,301.38,21.75,16.850000000000023,-4.9
2,2,350.25,318.23,21.0,16.849999999999966,-4.15
2,3,371.25,335.08,21.0,16.850000000000023,-4.15
2,4,392.25,351.93,33.75,18.55000000000001,-15.2
2,5,426.0,370.48,21.0,18.849999999999966,-2.15
2,6,447.0,389.33,21.0,16.850000000000023,-4.15
3,0,510.0,443.78,16.5,12.5,-4.0
3,1,526.5,456.28,21.75,18.850000000000023,-2.9
3,2,548.25,475.13,21.0,20.5,-0.5
3,3,569.25,495.63,21.0,16.850000000000023,-4.15
4,0,632.25,550.08,21.0,16.84999999999991,-4.15
4,1,653.25,566.93,21.75,16.850000000000023,-4.9
4,2,675.0,583.78,21.0,16.850000000000023,-4.15
4,3,696.0,600.63,21.0,16.850000000000023,-4.15
5,0,69.75,62.5,24.0,56.0,32.0
5,1,93.75,118.5,29.25,21.30000000000001,-7.95
5,2,123.0,139.8,29.25,21.299999999999983,-7.95
5,3,152.25,161.1,49.5,49.900000000000006,0.4
5,4,201.75,211.0,29.25,28.0,-1.25
5,5,231.0,239.0,49.5,49.39999999999998,-0.1
5,6,280.5,288.4,49.5,48.75,-0.75
5,7,330.0,337.15,80.25,79.75,-0.5
5,8,410.25,416.9,84.75,84.45000000000005,-0.3
5,9,495.0,501.35,99.75,91.89999999999998,-7.85
5,11,69.75,240.2,311.25,311.25000000000006,0.0
5,12,381.0,551.45,120.75,120.14999999999998,-0.6
5,14,534.75,297.64,21.0,20.25,-0.75
5,15,555.75,317.89,21.0,20.25,-0.75
5,16,576.75,338.14,20.25,20.25,0.0
5,17,597.0,358.39,21.0,20.25,-0.75
5,18,618.0,378.64,21.0,20.25,-0.75
5,19,639.0,398.89,20.25,20.25,0.0
5,20,659.25,419.14,21.0,20.25,-0.75
5,21,680.25,439.39,21.0,20.25,-0.75
5,22,701.25,459.64,20.25,20.25,0.0
5,24,63.0,500.14,448.5,24.360000000000014,-424.14
5,25,511.5,524.5,51.75,91.29999999999995,39.55
5,26,563.25,615.8,51.75,43.0,-8.75
5,29,255.0,249.88,62.25,79.75,17.5
5,30,317.25,329.63,122.25,121.85000000000002,-0.4
