table,row,word_y,oxi_cy,word_rh,oxi_rh,delta_rh
1,0,138.0,133.25,24.75,12.5,-12.25
1,1,162.75,145.75,30.0,37.58000000000001,7.58
1,2,192.75,183.33,21.75,16.849999999999994,-4.9
1,3,214.5,200.18,21.75,21.849999999999994,0.1
1,4,236.25,222.03,24.0,16.849999999999994,-7.15
1,5,260.25,238.88,24.75,27.44999999999999,2.7
2,0,339.75,316.68,16.5,12.5,-4.0
2,1,356.25,329.18,21.75,16.849999999999966,-4.9
2,2,378.0,346.03,21.0,16.850000000000023,-4.15
2,3,399.0,362.88,21.0,16.850000000000023,-4.15
2,4,420.0,379.73,33.75,28.849999999999966,-4.9
2,5,453.75,408.58,21.0,18.850000000000023,-2.15
2,6,474.75,427.43,21.0,16.849999999999966,-4.15
3,0,565.5,509.43,21.0,16.849999999999966,-4.15
3,1,586.5,526.28,21.75,16.850000000000023,-4.9
3,2,608.25,543.13,21.0,16.850000000000023,-4.15
3,3,629.25,559.98,21.0,16.850000000000023,-4.15
4,0,79.5,72.0,24.0,42.0,18.0
4,1,103.5,114.0,29.25,21.30000000000001,-7.95
4,2,132.75,135.3,29.25,21.299999999999983,-7.95
4,3,162.0,156.6,49.5,49.900000000000006,0.4
4,4,211.5,206.5,85.5,77.89999999999998,-7.6
4,5,297.0,284.4,50.25,49.400000000000034,-0.85
4,6,347.25,333.8,124.5,124.55000000000001,0.05
4,7,471.75,458.35,120.75,120.0,-0.75
4,8,592.5,578.35,103.5,103.39999999999998,-0.1
4,11,186.0,177.85,113.25,112.45000000000002,-0.8
4,12,299.25,290.3,165.0,164.39999999999998,-0.6
4,15,193.5,178.5,33.75,196.14,162.39
4,16,227.25,374.64,21.0,20.25,-0.75
4,17,248.25,394.89,20.25,20.25,0.0
4,18,268.5,415.14,21.0,20.25,-0.75
4,19,289.5,435.39,21.0,20.25,-0.75
4,20,310.5,455.64,20.25,20.25,0.0
4,21,330.75,475.89,24.75,20.25,-4.5
4,23,108.0,527.3,51.75,77.30000000000007,25.55
4,24,159.75,604.6,51.0,43.0,-8.0
4,25,210.75,647.6,51.75,43.0,-8.75
4,27,390.0,199.1,61.5,66.79999999999998,5.3
4,28,451.5,265.9,112.5,111.75,-0.75
