doc                                            pg      OFF       ON    delta
d77a58485f16_20240705_resources_data_outline    2   0.8385   0.8020  -0.0364
gen2_018_顧客満足度調査報告                              1   0.9329   0.9005  -0.0324
gen2_028_旅費規程                                   1   0.9466   0.9152  -0.0314
0e7af1ae8f21_20230331_resources_open_data_co    6   0.8486   0.8173  -0.0313
c7b923e5c616_20240705_resources_data_outline    2   0.8318   0.8018  -0.0300
gen2_009_安全衛生委員会議事録                             1   0.9556   0.9284  -0.0272
d77a58485f16_20240705_resources_data_outline    1   0.8435   0.8177  -0.0258
gen2_006_出張報告書                                  1   0.9155   0.8901  -0.0253
gen2_011_情報セキュリティポリシー                           1   0.9646   0.9399  -0.0247
gen2_015_リスク管理報告書                               1   0.9627   0.9383  -0.0244
gen2_003_予算申請書                                  1   0.9232   0.8994  -0.0237
3a4f9fbe1a83_001620506                          8   0.9603   0.9368  -0.0235
gen2_015_リスク管理報告書                               2   0.9379   0.9153  -0.0226
c7b923e5c616_20240705_resources_data_outline    3   0.8808   0.8587  -0.0221
gen2_037_管理職ハンドブック                              1   0.8618   0.8398  -0.0219
c7b923e5c616_20240705_resources_data_outline    1   0.8011   0.7796  -0.0214
gen2_021_給与規程                                   1   0.9550   0.9344  -0.0206
gen2_019_社内規程集                                  1   0.8820   0.8624  -0.0196
gen2_050_Disaster_Plan                          2   0.9057   0.8861  -0.0196
gen2_012_個人情報保護方針                               1   0.8595   0.8400  -0.0195
e3c545fac7a7_LOD_Handbook                       1   0.9539   0.9345  -0.0194
gen2_039_品質基準書                                  1   0.9149   0.8967  -0.0182
3a4f9fbe1a83_001620506                          7   0.9517   0.9339  -0.0178
3a4f9fbe1a83_001620506                          6   0.9595   0.9418  -0.0177
gen2_024_テレワーク規程                                1   0.9640   0.9463  -0.0177
0e7af1ae8f21_20230331_resources_open_data_co    4   0.8495   0.8320  -0.0175
gen2_038_営業マニュアル                                1   0.9257   0.9086  -0.0171
gen2_022_退職金規程                                  1   0.9150   0.8982  -0.0168
gen2_004_人事評価シート                                1   0.9422   0.9256  -0.0166
gen2_027_懲戒規程                                   1   0.8880   0.8715  -0.0165
d77a58485f16_20240705_resources_data_outline    6   0.8782   0.8629  -0.0153
gen2_030_車両管理規程                                 1   0.9164   0.9013  -0.0151
gen2_007_業務改善提案書                                1   0.8524   0.8376  -0.0148
09390503aeff_index-17                           1   0.9563   0.9421  -0.0141
gen2_016_新商品企画書                                 1   0.9015   0.8877  -0.0138
ed025cbecffb_index-23                           4   0.8511   0.8373  -0.0138
34140b9c5662_index-14                           5   0.8267   0.8136  -0.0131
6d6dc4ade6c0_index-20                           1   0.9535   0.9404  -0.0130
gen2_057_Marketing_Strategy                     2   0.9484   0.9354  -0.0130
0e7af1ae8f21_20230331_resources_open_data_co    3   0.8402   0.8273  -0.0129
gen2_000_取締役会議事録                                1   0.9619   0.9492  -0.0127
d6fd9a516382_190095                             2   0.9720   0.9595  -0.0124
04b88e7e0b25_index-19                           3   0.8640   0.8519  -0.0121
gen2_026_副業_兼業規程                                1   0.8459   0.8339  -0.0121
gen2_013_コンプライアンス研修資料                           1   0.9035   0.8920  -0.0116
34140b9c5662_index-14                           2   0.8782   0.8669  -0.0114
34140b9c5662_index-14                           1   0.9139   0.9029  -0.0110
3a4f9fbe1a83_001620506                          5   0.9132   0.9023  -0.0109
ed025cbecffb_index-23                           3   0.8267   0.8162  -0.0105
gen2_001_株主総会招集通知                               1   0.9617   0.9516  -0.0101
gen2_036_新入社員ガイド                                2   0.9765   0.9666  -0.0099
04b88e7e0b25_index-19                           4   0.9055   0.8960  -0.0095
gen2_021_給与規程                                   2   0.8784   0.8691  -0.0093
3a4f9fbe1a83_001620506                          3   0.8122   0.8032  -0.0090
0e7af1ae8f21_20230331_resources_open_data_co    2   0.7743   0.7655  -0.0089
gen2_036_新入社員ガイド                                1   0.8161   0.8073  -0.0088
gen2_054_Audit_Report                           1   0.8950   0.8863  -0.0087
b5f706e9f6ad_kyodokenkyuyoushiki_bessi          2   0.8677   0.8591  -0.0086
gen2_066_Data_Processing_Agreement              2   0.9870   0.9786  -0.0085
34140b9c5662_index-14                           4   0.9079   0.8995  -0.0084
gen2_020_就業規則                                   1   0.9217   0.9139  -0.0078
gen2_032_経費精算マニュアル                              1   0.9051   0.8975  -0.0076
ed025cbecffb_index-23                          12   0.9144   0.9069  -0.0075
test_widow                                      2   0.9151   0.9078  -0.0073
gen2_003_予算申請書                                  2   0.9382   0.9309  -0.0073
gen2_077_API_Documentation                      2   0.9528   0.9457  -0.0071
gen2_017_マーケティング戦略書                             1   0.9130   0.9061  -0.0070
gen2_023_育児休業規程                                 1   0.8722   0.8653  -0.0069
gen2_031_文書管理規程                                 1   0.8745   0.8677  -0.0068
a47e6c6b2ca1_order_08                           1   0.7910   0.7842  -0.0068
gen2_060_Employee_Agreement                     2   0.9855   0.9791  -0.0064
test_widow                                      1   0.9115   0.9056  -0.0059
gen2_075_Release_Notes                          1   0.9143   0.9086  -0.0057
2ea81a8441cc_0025006-192                        2   0.7397   0.7344  -0.0053
gen2_010_防災計画書                                  1   0.9420   0.9370  -0.0050
gen_japanese                                    1   0.9712   0.9663  -0.0050
gen2_002_事業計画書                                  1   0.8838   0.8789  -0.0050
gen2_033_受注管理マニュアル                              1   0.8882   0.8834  -0.0048
459f05f1e877_kyodokenkyuyoushiki01              3   0.8461   0.8413  -0.0048
gen2_035_電話対応マニュアル                              1   0.8877   0.8833  -0.0044
d94cb2a61ef4_190096                             1   0.9627   0.9583  -0.0044
ed025cbecffb_index-23                           6   0.7741   0.7697  -0.0044
d77a58485f16_20240705_resources_data_outline   10   0.7604   0.7562  -0.0042
ed025cbecffb_index-23                          11   0.9183   0.9143  -0.0041
d77a58485f16_20240705_resources_data_outline    8   0.8788   0.8748  -0.0040
gen2_059_Company_Handbook                       1   0.9456   0.9418  -0.0038
gen2_075_Release_Notes                          2   0.9565   0.9528  -0.0037
gen2_013_コンプライアンス研修資料                           2   0.9534   0.9497  -0.0037
ed025cbecffb_index-23                           5   0.8471   0.8435  -0.0036
gen2_008_品質管理報告書                                1   0.9570   0.9534  -0.0036
d77a58485f16_20240705_resources_data_outline    3   0.8486   0.8452  -0.0034
1ec1091177b1_006                                1   0.6345   0.6311  -0.0033
gen2_014_内部監査報告書                                1   0.8728   0.8696  -0.0032
gen2_059_Company_Handbook                       2   0.9787   0.9754  -0.0032
gen2_010_防災計画書                                  2   0.9377   0.9346  -0.0031
gen_long                                        1   0.8500   0.8470  -0.0030
04b88e7e0b25_index-19                           5   0.9902   0.9874  -0.0028
d1e8ac8fd1cc_kyodokenkyuyoushiki06              1   0.7958   0.7929  -0.0028
ed025cbecffb_index-23                           7   0.8575   0.8547  -0.0028
8efcd416dfb8_190098                             1   0.9534   0.9508  -0.0026
test_line_height                                1   0.9835   0.9810  -0.0025
338c92d6e393_190097                             1   0.9485   0.9460  -0.0024
15f9755cbccc_190094                             1   0.9506   0.9483  -0.0024
d6fd9a516382_190095                             1   0.9523   0.9499  -0.0024
